t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,-4,0.0443127,9.25852e-05,1.97244e-06,2.00012e-06
1.72247e+09,0.0110804,-20,0.221481,-0.00012726,1.87984e-06,2.00009e-06
1.72247e+09,0.0110079,-1,0.0113675,0.000359603,1.83998e-06,2.00007e-06
1.72247e+09,0.0110417,-14,0.15472,0.000137076,2.03522e-06,2.00007e-06
1.72247e+09,0.011099,-33,0.365152,-0.00111398,1.90068e-06,2.00004e-06
1.72247e+09,0.0110747,-14,0.155544,0.000498157,1.75277e-06,2.00002e-06
1.72247e+09,0.0111165,-29,0.322113,-0.000265032,1.6723e-06,2e-06
1.72247e+09,0.0110962,-22,0.244487,0.00037089,1.51066e-06,2.00007e-06
1.72247e+09,0.0110181,-10,0.111669,0.00148818,1.99458e-06,2.00011e-06
1.72248e+09,0.0109812,22,-0.240487,0.001099,2.03195e-06,2.00009e-06
1.72248e+09,0.0110029,22,-0.240632,0.00143202,1.64408e-06,2.00005e-06
1.72248e+09,0.0110089,28,-0.306892,0.00135792,2.0367e-06,2.00005e-06
1.72248e+09,0.0110879,47,-0.518309,0.00282234,2.24101e-06,2.00004e-06
1.72248e+09,0.0110636,72,-0.794984,0.00159737,1.86556e-06,2.00001e-06
1.72248e+09,0.0110547,81,-0.894432,0.000998637,1.64339e-06,2.00009e-06
1.72248e+09,0.0111007,49,-0.540088,0.00384724,1.71164e-06,2.00008e-06
1.72248e+09,0.0110005,89,-0.982468,-0.0034217,1.9953e-06,2.00009e-06
1.72248e+09,0.0110071,73,-0.806408,-0.00288618,2.19387e-06,2.00009e-06
1.72248e+09,0.0110415,71,-0.784184,-0.000236935,1.96976e-06,2.00005e-06
1.72248e+09,0.0110004,65,-0.717815,-0.0027916,1.77719e-06,2.00003e-06
1.72248e+09,0.0110289,38,-0.420278,-0.00117966,1.73201e-06,2.00001e-06
1.72248e+09,0.0109822,49,-0.541296,-0.00316803,1.47648e-06,2.00007e-06
1.72248e+09,0.0109371,41,-0.454192,-0.00576974,1.99932e-06,2.00012e-06
1.72248e+09,0.0109399,42,-0.465022,-0.00554413,2.28742e-06,2.00013e-06
1.72248e+09,0.0110127,-3,0.0290228,-0.00401525,1.8559e-06,2.00007e-06
1.72248e+09,0.0109968,-23,0.249548,-0.00337753,1.65154e-06,2.00004e-06
1.72248e+09,0.0109873,-32,0.348517,-0.00307629,1.49697e-06,2.00002e-06
1.72248e+09,0.0109856,-57,0.623563,-0.00261833,1.34764e-06,2.00001e-06
1.72248e+09,0.0109242,-25,0.273616,0.000510229,1.37399e-06,2.00007e-06
1.72249e+09,0.010956,-44,0.48154,-0.00052373,1.40067e-06,2.00006e-06
