t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,-1,0.0110527,-2.34187e-06,1.97244e-06,2.00012e-06
1.72247e+09,0.0110804,-17,0.18822,-0.000146107,1.87984e-06,2.00009e-06
1.72247e+09,0.0110079,2,-0.0218925,0.000123346,1.83998e-06,2.00007e-06
1.72247e+09,0.0110417,-11,0.12146,2.00072e-06,2.03522e-06,2.00007e-06
1.72247e+09,0.011099,-26,0.287514,-0.00105869,1.90068e-06,2.00004e-06
1.72247e+09,0.0110747,-5,0.0557485,0.000375165,1.75277e-06,2.00002e-06
1.72247e+09,0.0111165,-19,0.211219,5.92971e-06,1.6723e-06,2e-06
1.72247e+09,0.0110962,-10,0.111354,0.000391532,1.51066e-06,2.00007e-06
1.72247e+09,0.0110181,2,-0.0215045,0.000531743,1.99458e-06,2.00011e-06
1.72248e+09,0.0109812,32,-0.351655,-0.000256764,2.03195e-06,2.00009e-06
1.72248e+09,0.0110029,31,-0.340791,0.000298555,1.64408e-06,2.00005e-06
1.72248e+09,0.0110089,36,-0.396057,0.000263516,2.0367e-06,2.00005e-06
1.72248e+09,0.0110879,54,-0.596401,0.00234572,2.24101e-06,2.00004e-06
1.72248e+09,0.0110636,77,-0.850948,0.000951526,1.86556e-06,2.00001e-06
1.72248e+09,0.0110547,84,-0.92825,0.000344698,1.64339e-06,2.00009e-06
1.72248e+09,0.0111007,51,-0.562851,0.00328502,1.71164e-06,2.00008e-06
1.72248e+09,0.0110005,88,-0.972201,-0.00415593,1.9953e-06,2.00009e-06
1.72248e+09,0.0110071,68,-0.752106,-0.00362035,2.19387e-06,2.00009e-06
1.72248e+09,0.0110415,65,-0.718856,-0.00115755,1.96976e-06,2.00005e-06
1.72248e+09,0.0110004,56,-0.619401,-0.00338082,1.77719e-06,2.00003e-06
1.72248e+09,0.0110289,29,-0.321864,-0.00202591,1.73201e-06,2.00001e-06
1.72248e+09,0.0109822,39,-0.431894,-0.00358862,1.47648e-06,2.00007e-06
1.72248e+09,0.0109371,30,-0.333857,-0.0057436,1.99932e-06,2.00012e-06
1.72248e+09,0.0109399,31,-0.344687,-0.00554898,2.28742e-06,2.00013e-06
1.72248e+09,0.0110127,-14,0.149357,-0.00482039,1.8559e-06,2.00007e-06
1.72248e+09,0.0109968,-34,0.369883,-0.00400759,1.65154e-06,2.00004e-06
1.72248e+09,0.0109873,-42,0.457866,-0.00360058,1.49697e-06,2.00002e-06
1.72248e+09,0.0109856,-67,0.732912,-0.00312607,1.34764e-06,2.00001e-06
1.72248e+09,0.0109242,-34,0.372019,0.000594588,1.37399e-06,2.00007e-06
1.72249e+09,0.010956,-51,0.558063,-0.000691806,1.40067e-06,2.00006e-06
1.72249e+09,0.0108798,-37,0.405155,0.00260334,1.40717e-06,2.00005e-06
1.72249e+09,0.0106748,-32,0.351724,0.0101296,3.64284e-06,2.00027e-06
1.72249e+09,0.0106685,-114,1.22418,0.00797126,4.87577e-06,2.00036e-06
1.72249e+09,0.0106513,-116,1.24651,0.0109688,3.90535e-06,2.00015e-06
1.72249e+09,0.0105135,-131,1.4026,0.0253306,4.18345e-06,2.00009e-06
1.72249e+09,0.010484,-148,1.58106,0.0294323,4.28891e-06,2e-06
1.72249e+09,0.0104976,-172,1.8322,0.0266213,3.39844e-06,2.00036e-06
1.72249e+09,0.0105635,-194,2.06429,0.0149681,3.03934e-06,2.00024e-06
1.72249e+09,0.0105888,-187,1.99055,0.0104506,2.15349e-06,2.0001e-06
1.72249e+09,0.0106073,-203,2.16028,0.00699548,2.0774e-06,2.00007e-06
1.72249e+09,0.0105862,-190,2.02268,0.0112963,1.81221e-06,2.00004e-06
1.72249e+09,0.0106394,-217,2.30923,0.000479324,1.55416e-06,2.00001e-06
1.72249e+09,0.0106558,-198,2.10695,-0.00290233,1.42144e-06,2e-06
1.72249e+09,0.0106076,-188,2.00078,0.00654521,1.41409e-06,2.00006e-06
1.72249e+09,0.0105629,-172,1.83153,0.0147162,1.5201e-06,2.00006e-06
1.72249e+09,0.0105681,-168,1.78952,0.0140741,1.54128e-06,2.00005e-06
1.72249e+09,0.0105652,-137,1.4618,0.0143659,1.35535e-06,2.00003e-06
1.72249e+09,0.0105747,-115,1.23009,0.0140049,1.43457e-06,2.00002e-06
1.72249e+09,0.0105988,-121,1.29359,0.0111358,1.60822e-06,2.00002e-06
1.7225e+09,0.010527,-114,1.21875,0.0186693,2.26836e-06,2.00001e-06
1.7225e+09,0.0104962,-123,1.31263,0.0216024,2.85264e-06,2.00027e-06
1.7225e+09,0.0105878,-170,1.80821,0.00828758,2.56612e-06,2.00018e-06
1.7225e+09,0.0105613,-176,1.8718,0.0130149,1.96435e-06,2.00009e-06
1.7225e+09,0.010546,-166,1.76636,0.0157206,1.48845e-06,2.00004e-06
