t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,0,-0.000212351,-0.000212351,1.97244e-06,3.20598e-06
1.72247e+09,0.0110804,-1,0.0106518,-0.000428556,1.87984e-06,2.91872e-06
1.72247e+09,0.0110079,0,-0.000675118,-0.000675118,1.83998e-06,2.71089e-06
1.72247e+09,0.0110417,-2,0.0211293,-0.000954035,2.03522e-06,2.66266e-06
1.72247e+09,0.011099,0,-0.00107975,-0.00107975,1.90068e-06,2.39731e-06
1.72247e+09,0.0110747,-2,0.0208686,-0.00128069,1.75277e-06,2.18425e-06
1.72247e+09,0.0111165,-7,0.0763718,-0.00144369,1.6723e-06,2.02788e-06
1.72247e+09,0.0110962,-1,0.00951255,-0.00158365,1.51066e-06,2.73029e-06
1.72247e+09,0.0110181,0,-0.00179624,-0.00179624,1.99458e-06,3.07427e-06
1.72248e+09,0.0109812,0,-0.00193474,-0.00193474,2.03195e-06,2.90846e-06
1.72248e+09,0.0110029,2,-0.0240885,-0.00208273,1.64408e-06,2.45956e-06
1.72248e+09,0.0110089,0,-0.00247794,-0.00247794,2.0367e-06,2.4979e-06
1.72248e+09,0.0110879,3,-0.0360648,-0.00280108,2.24101e-06,2.35172e-06
1.72248e+09,0.0110636,-1,0.00807899,-0.00298464,1.86556e-06,2.06969e-06
1.72248e+09,0.0110547,1,-0.014178,-0.00312332,1.64339e-06,2.89142e-06
1.72248e+09,0.0111007,-1,0.00777119,-0.00332952,1.71164e-06,2.82052e-06
1.72248e+09,0.0110005,1,-0.0146273,-0.00362676,1.9953e-06,2.91598e-06
1.72248e+09,0.0110071,0,-0.00387152,-0.00387152,2.19387e-06,2.86673e-06
1.72248e+09,0.0110415,0,-0.0040923,-0.0040923,1.96976e-06,2.50469e-06
1.72248e+09,0.0110004,3,-0.0372223,-0.00422121,1.77719e-06,2.25289e-06
1.72248e+09,0.0110289,-3,0.0287658,-0.00432092,1.73201e-06,2.09019e-06
1.72248e+09,0.0109822,1,-0.0153188,-0.00433658,1.47648e-06,2.74141e-06
1.72248e+09,0.0109371,-1,0.00625812,-0.00467901,1.99932e-06,3.1597e-06
1.72248e+09,0.0109399,0,-0.00491126,-0.00491126,2.28742e-06,3.2564e-06
1.72248e+09,0.0110127,0,-0.00507477,-0.00507477,1.8559e-06,2.65484e-06
1.72248e+09,0.0109968,2,-0.0272143,-0.00522071,1.65154e-06,2.38216e-06
1.72248e+09,0.0109873,0,-0.00534287,-0.00534287,1.49697e-06,2.20191e-06
1.72248e+09,0.0109856,2,-0.0273415,-0.00537022,1.34764e-06,2.07281e-06
1.72248e+09,0.0109242,0,-0.00556407,-0.00556407,1.37399e-06,2.66093e-06
1.72249e+09,0.010956,-2,0.0162441,-0.00566784,1.40067e-06,2.58875e-06
1.72249e+09,0.0108798,2,-0.0275343,-0.00577476,1.40717e-06,2.49522e-06
1.72249e+09,0.0106748,1,-0.0171124,-0.00643755,3.64284e-06,4.65594e-06
1.72249e+09,0.0106685,0,-0.0070421,-0.0070421,4.87577e-06,5.56935e-06
1.72249e+09,0.0106513,0,-0.00734763,-0.00734763,3.90535e-06,3.52734e-06
1.72249e+09,0.0105135,0,-0.00843859,-0.00843859,4.18345e-06,2.87759e-06
1.72249e+09,0.010484,2,-0.0298859,-0.00891797,4.28891e-06,2.0026e-06
1.72249e+09,0.0104976,0,-0.00928268,-0.00928268,3.39844e-06,5.58201e-06
1.72249e+09,0.0105635,1,-0.0200266,-0.00946306,3.03934e-06,4.4031e-06
1.72249e+09,0.0105888,-1,0.000868363,-0.00972042,2.15349e-06,2.97448e-06
1.72249e+09,0.0106073,0,-0.00994713,-0.00994713,2.0774e-06,2.69106e-06
1.72249e+09,0.0105862,2,-0.0312709,-0.0100984,1.81221e-06,2.36168e-06
1.72249e+09,0.0106394,0,-0.0102329,-0.0102329,1.55416e-06,2.14519e-06
1.72249e+09,0.0106558,0,-0.0102549,-0.0102549,1.42144e-06,2.02041e-06
1.72249e+09,0.0106076,0,-0.0103484,-0.0103484,1.41409e-06,2.64019e-06
1.72249e+09,0.0105629,-1,5.58502e-05,-0.010507,1.5201e-06,2.62425e-06
1.72249e+09,0.0105681,1,-0.0212037,-0.0106356,1.54128e-06,2.52299e-06
1.72249e+09,0.0105652,1,-0.0212182,-0.010653,1.35535e-06,2.31255e-06
1.72249e+09,0.0105747,0,-0.0108058,-0.0108058,1.43457e-06,2.24727e-06
1.72249e+09,0.0105988,-1,-0.000354526,-0.0109533,1.60822e-06,2.18146e-06
