t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,0,-3.05259e-05,-3.05259e-05,1.97244e-06,2.01206e-06
1.72247e+09,0.0110804,-19,0.210327,-0.000199979,1.87984e-06,2.00919e-06
1.72247e+09,0.0110079,1,-0.0108436,0.00016435,1.83998e-06,2.00711e-06
1.72247e+09,0.0110417,-13,0.143545,3.54147e-06,2.03522e-06,2.00663e-06
1.72247e+09,0.011099,-30,0.331755,-0.00121328,1.90068e-06,2.00397e-06
1.72247e+09,0.0110747,-10,0.111035,0.000288585,1.75277e-06,2.00184e-06
1.72247e+09,0.0111165,-23,0.255411,-0.000268302,1.6723e-06,2.00028e-06
1.72247e+09,0.0110962,-16,0.177751,0.000211903,1.51066e-06,2.0073e-06
1.72247e+09,0.0110181,-5,0.0559323,0.000841662,1.99458e-06,2.01074e-06
1.72248e+09,0.0109812,25,-0.274213,0.000316762,2.03195e-06,2.00908e-06
1.72248e+09,0.0110029,25,-0.274347,0.000725716,1.64408e-06,2.0046e-06
1.72248e+09,0.0110089,33,-0.362623,0.000671312,2.0367e-06,2.00498e-06
1.72248e+09,0.0110879,51,-0.562989,0.00249382,2.24101e-06,2.00352e-06
1.72248e+09,0.0110636,78,-0.86185,0.00111285,1.86556e-06,2.0007e-06
1.72248e+09,0.0110547,85,-0.939152,0.000497678,1.64339e-06,2.00891e-06
1.72248e+09,0.0111007,54,-0.595845,0.00359376,1.71164e-06,2.00821e-06
1.72248e+09,0.0110005,91,-1.00519,-0.00414669,1.9953e-06,2.00916e-06
1.72248e+09,0.0110071,76,-0.840135,-0.00359195,2.19387e-06,2.00867e-06
1.72248e+09,0.0110415,73,-0.806883,-0.000853442,1.96976e-06,2.00505e-06
1.72248e+09,0.0110004,67,-0.740531,-0.00350707,1.77719e-06,2.00253e-06
1.72248e+09,0.0110289,43,-0.476035,-0.00179201,1.73201e-06,2.0009e-06
1.72248e+09,0.0109822,54,-0.597058,-0.00401959,1.47648e-06,2.00741e-06
1.72248e+09,0.0109371,48,-0.531846,-0.00686433,1.99932e-06,2.0116e-06
1.72248e+09,0.0109399,49,-0.542675,-0.00661743,2.28742e-06,2.01256e-06
1.72248e+09,0.0110127,7,-0.0815227,-0.00443384,1.8559e-06,2.00655e-06
1.72248e+09,0.0109968,-12,0.127964,-0.00399722,1.65154e-06,2.00382e-06
1.72248e+09,0.0109873,-21,0.226929,-0.00380365,1.49697e-06,2.00202e-06
1.72248e+09,0.0109856,-49,0.534975,-0.00332119,1.34764e-06,2.00073e-06
1.72248e+09,0.0109242,-17,0.185071,-0.000641276,1.37399e-06,2.00661e-06
1.72249e+09,0.010956,-36,0.393008,-0.00140707,1.40067e-06,2.00589e-06
1.72249e+09,0.0108798,-23,0.25102,0.000785738,1.40717e-06,2.00495e-06
1.72249e+09,0.0106748,-23,0.251956,0.00643456,3.64284e-06,2.02656e-06
1.72249e+09,0.0106685,-116,1.24144,0.00389362,4.87577e-06,2.03569e-06
1.72249e+09,0.0106513,-128,1.37032,0.00696005,3.90535e-06,2.01527e-06
