t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,8,-0.0889315,-0.00049129,1.97244e-06,2.01206e-06
1.72247e+09,0.0110804,-10,0.1102,-0.000603863,1.87984e-06,2.00919e-06
1.72247e+09,0.0110079,5,-0.0557674,-0.000727819,1.83998e-06,2.00711e-06
1.72247e+09,0.0110417,-11,0.12054,-0.000918393,2.03522e-06,2.00663e-06
1.72247e+09,0.011099,-11,0.120396,-0.00169303,1.90068e-06,2.00397e-06
1.72247e+09,0.0110747,7,-0.0784308,-0.000908124,1.75277e-06,2.00184e-06
1.72247e+09,0.0111165,-5,0.0548335,-0.000749039,1.6723e-06,2.00028e-06
1.72247e+09,0.0110962,8,-0.089612,-0.00084243,1.51066e-06,2.0073e-06
1.72247e+09,0.0110181,3,-0.0347344,-0.00168002,1.99458e-06,2.01074e-06
1.72248e+09,0.0109812,13,-0.14489,-0.00213437,2.03195e-06,2.00908e-06
1.72248e+09,0.0110029,7,-0.0790586,-0.00203836,1.64408e-06,2.0046e-06
1.72248e+09,0.0110089,3,-0.0356151,-0.00258834,2.0367e-06,2.00498e-06
1.72248e+09,0.0110879,23,-0.258045,-0.00302304,2.24101e-06,2.00352e-06
1.72248e+09,0.0110636,39,-0.435083,-0.00360095,1.86556e-06,2.0007e-06
1.72248e+09,0.0110547,21,-0.235657,-0.00350871,1.64339e-06,2.00891e-06
1.72248e+09,0.0111007,-20,0.217908,-0.00410638,1.71164e-06,2.00821e-06
1.72248e+09,0.0110005,7,-0.081618,-0.00461441,1.9953e-06,2.00916e-06
1.72248e+09,0.0110071,-1,0.00628864,-0.00471851,2.19387e-06,2.00867e-06
1.72248e+09,0.0110415,-1,0.00642677,-0.00461474,1.96976e-06,2.00505e-06
1.72248e+09,0.0110004,-4,0.0396737,-0.00432771,1.77719e-06,2.00253e-06
1.72248e+09,0.0110289,-22,0.238048,-0.00458787,1.73201e-06,2.0009e-06
1.72248e+09,0.0109822,-5,0.05099,-0.00392097,1.47648e-06,2.00741e-06
1.72248e+09,0.0109371,-4,0.0395267,-0.00422177,1.99932e-06,2.0116e-06
1.72248e+09,0.0109399,2,-0.0262203,-0.00434038,2.28742e-06,2.01256e-06
1.72248e+09,0.0110127,-22,0.23727,-0.0050093,1.8559e-06,2.00655e-06
1.72248e+09,0.0109968,-23,0.248443,-0.00448336,1.65154e-06,2.00382e-06
1.72248e+09,0.0109873,-19,0.2046,-0.00415812,1.49697e-06,2.00202e-06
1.72248e+09,0.0109856,-37,0.40265,-0.00381812,1.34764e-06,2.00073e-06
1.72248e+09,0.0109242,1,-0.0130346,-0.00211034,1.37399e-06,2.00661e-06
1.72249e+09,0.010956,-12,0.129232,-0.00223964,1.40067e-06,2.00589e-06
1.72249e+09,0.0108798,5,-0.0565079,-0.00210905,1.40717e-06,2.00495e-06
