t,mid,q,x,pnl,sigma,spread
1.72247e+09,0.011055,-2,0.022293,0.000182948,1.97244e-06,2.1206e-06
1.72247e+09,0.0110804,-22,0.243719,-4.97853e-05,1.87984e-06,2.09187e-06
1.72247e+09,0.0110079,-3,0.0336125,0.000588705,1.83998e-06,2.07109e-06
1.72247e+09,0.0110417,-19,0.210055,0.000263139,2.03522e-06,2.06627e-06
1.72247e+09,0.011099,-32,0.354002,-0.00116421,1.90068e-06,2.03973e-06
1.72247e+09,0.0110747,-10,0.11105,0.000303193,1.75277e-06,2.01843e-06
1.72247e+09,0.0111165,-23,0.255427,-0.000252884,1.6723e-06,2.00279e-06
1.72247e+09,0.0110962,-13,0.14438,0.000129088,1.51066e-06,2.07303e-06
1.72247e+09,0.0110181,-1,0.0115036,0.000485473,1.99458e-06,2.10743e-06
1.72248e+09,0.0109812,29,-0.318613,-0.000158445,2.03195e-06,2.09085e-06
1.72248e+09,0.0110029,31,-0.340686,0.00040359,1.64408e-06,2.04596e-06
1.72248e+09,0.0110089,44,-0.483922,0.000470157,2.0367e-06,2.04979e-06
1.72248e+09,0.0110879,65,-0.717466,0.00324786,2.24101e-06,2.03517e-06
1.72248e+09,0.0110636,94,-1.03848,0.00150251,1.86556e-06,2.00697e-06
1.72248e+09,0.0110547,105,-1.16007,0.000676192,1.64339e-06,2.08914e-06
1.72248e+09,0.0111007,80,-0.882986,0.00507109,1.71164e-06,2.08205e-06
1.72248e+09,0.0110005,113,-1.24822,-0.00515792,1.9953e-06,2.0916e-06
1.72248e+09,0.0110071,95,-1.05012,-0.00443723,2.19387e-06,2.08667e-06
1.72248e+09,0.0110415,96,-1.06097,-0.000983219,1.96976e-06,2.05047e-06
1.72248e+09,0.0110004,94,-1.03873,-0.00469836,1.77719e-06,2.02529e-06
1.72248e+09,0.0110289,72,-0.796255,-0.00217355,1.73201e-06,2.00902e-06
1.72248e+09,0.0109822,84,-0.928269,-0.00576411,1.47648e-06,2.07414e-06
1.72248e+09,0.0109371,77,-0.852036,-0.0098774,1.99932e-06,2.11597e-06
1.72248e+09,0.0109399,81,-0.895739,-0.00960393,2.28742e-06,2.12564e-06
1.72248e+09,0.0110127,41,-0.456481,-0.0049602,1.8559e-06,2.06548e-06
1.72248e+09,0.0109968,22,-0.247023,-0.0050938,1.65154e-06,2.03822e-06
1.72248e+09,0.0109873,14,-0.159041,-0.00521861,1.49697e-06,2.02019e-06
1.72248e+09,0.0109856,-14,0.149008,-0.00479121,1.34764e-06,2.00728e-06
1.72248e+09,0.0109242,19,-0.211849,-0.00428784,1.37399e-06,2.06609e-06
1.72249e+09,0.010956,3,-0.0367176,-0.00384962,1.40067e-06,2.05888e-06
1.72249e+09,0.0108798,15,-0.167795,-0.00459889,1.40717e-06,2.04952e-06
1.72249e+09,0.0106748,12,-0.134689,-0.0065913,3.64284e-06,2.26559e-06
1.72249e+09,0.0106685,-68,0.716549,-0.00890883,4.87577e-06,2.35693e-06
1.72249e+09,0.0106513,-78,0.824173,-0.00662456,3.90535e-06,2.15273e-06
1.72249e+09,0.0105135,-94,0.990821,0.00255199,4.18345e-06,2.08776e-06
1.72249e+09,0.010484,-111,1.1693,0.00557604,4.28891e-06,2.00026e-06
1.72249e+09,0.0104976,-149,1.56657,0.0024318,3.39844e-06,2.3582e-06
1.72249e+09,0.0105635,-184,1.93542,-0.00826593,3.03934e-06,2.24031e-06
1.72249e+09,0.0105888,-189,1.9885,-0.0127778,2.15349e-06,2.09745e-06
1.72249e+09,0.0106073,-214,2.25376,-0.0162113,2.0774e-06,2.06911e-06
1.72249e+09,0.0105862,-204,2.14791,-0.0116851,1.81221e-06,2.03617e-06
1.72249e+09,0.0106394,-233,2.45566,-0.0233218,1.55416e-06,2.01452e-06
1.72249e+09,0.0106558,-213,2.24273,-0.0269523,1.42144e-06,2.00204e-06
1.72249e+09,0.0106076,-211,2.22162,-0.0165927,1.41409e-06,2.06402e-06
1.72249e+09,0.0105629,-196,2.0629,-0.00742539,1.5201e-06,2.06243e-06
1.72249e+09,0.0105681,-193,2.03143,-0.00821683,1.54128e-06,2.0523e-06
1.72249e+09,0.0105652,-161,1.69313,-0.00786562,1.35535e-06,2.03125e-06
1.72249e+09,0.0105747,-142,1.49306,-0.00854959,1.43457e-06,2.02473e-06
1.72249e+09,0.0105988,-150,1.57774,-0.0120738,1.60822e-06,2.01815e-06
1.7225e+09,0.010527,-144,1.51338,-0.00251648,2.26836e-06,2.01038e-06
1.7225e+09,0.0104962,-153,1.60739,0.00147248,2.85264e-06,2.26869e-06
1.7225e+09,0.0105878,-204,2.14516,-0.014752,2.56612e-06,2.1845e-06
1.7225e+09,0.0105613,-216,2.2722,-0.00903534,1.96435e-06,2.08882e-06
1.7225e+09,0.010546,-222,2.33542,-0.00579384,1.48845e-06,2.03991e-06
